constructorStandingsId,raceId,constructorId,points,position,positionText,wins
6179,94,3,30.0,4,4,0
6177,94,6,82.0,1,1,5
6192,95,15,7.0,5,5,0
6191,95,1,5.0,6,6,0
6189,95,3,35.0,4,4,0
6187,95,6,88.0,1,1,5
6202,96,15,10.0,5,5,0
6201,96,1,5.0,6,6,0
6199,96,3,36.0,4,4,0
6197,96,6,106.0,1,1,6
6212,97,15,15.0,5,5,0
6211,97,1,12.0,6,6,0
6209,97,3,36.0,4,4,0
6207,97,6,124.0,1,1,7
6222,98,15,15.0,6,6,0
6221,98,1,17.0,5,5,0
6219,98,3,36.0,4,4,0
6217,98,6,142.0,1,1,8
6232,99,15,15.0,6,6,0
6231,99,1,22.0,5,5,0
6229,99,3,37.0,4,4,0
6227,99,6,158.0,1,1,9
6242,100,15,18.0,6,6,0
6241,100,1,32.0,5,5,0
6239,100,3,41.0,4,4,0
6237,100,6,174.0,1,1,10
6252,101,15,18.0,6,6,0
6251,101,1,37.0,5,5,0
6249,101,3,47.0,4,4,0
6247,101,6,184.0,1,1,11
6262,102,15,19.0,6,6,0
6261,102,1,37.0,5,5,0
6259,102,3,54.0,4,4,0
6257,102,6,202.0,1,1,12
6272,103,15,28.0,6,6,0
6271,103,1,49.0,5,5,1
6269,103,3,54.0,4,4,0
6267,103,6,216.0,1,1,12
6282,104,15,29.0,6,6,0
6281,104,1,52.0,5,5,1
6279,104,3,60.0,4,4,0
6277,104,6,234.0,1,1,13
6292,105,15,32.0,6,6,0
6291,105,1,58.0,5,5,1
6289,105,3,64.0,4,4,0
6287,105,6,244.0,1,1,14
6302,106,15,33.0,6,6,0
6301,106,1,61.0,5,5,1
6299,106,3,74.0,4,4,0
6297,106,6,254.0,1,1,15
6312,107,15,34.0,6,6,0
6311,107,1,69.0,5,5,1
6309,107,3,88.0,4,4,1
6307,107,6,262.0,1,1,15
5986,108,15,3.0,5,5,0
5984,108,6,5.0,4,4,0
5983,108,3,9.0,2,2,0
5982,108,1,16.0,1,1,1
5993,109,15,4.0,5,5,0
5991,109,6,16.0,2,2,0
5990,109,3,14.0,4,4,0
5989,109,1,26.0,1,1,2
6002,110,15,8.0,6,6,0
6000,110,6,16.0,3,3,0
5999,110,3,16.0,4,4,0
5998,110,1,39.0,1,1,2
6012,111,15,8.0,6,6,0
6010,111,6,32.0,2,2,1
6009,111,3,23.0,4,4,0
6008,111,1,51.0,1,1,2
6022,112,15,8.0,6,6,0
6020,112,6,48.0,2,2,2
6019,112,3,32.0,4,4,0
6018,112,1,51.0,1,1,2
6032,113,15,8.0,7,7,0
6030,113,6,64.0,1,1,3
6029,113,3,35.0,4,4,0
6028,113,1,63.0,2,2,2
6042,114,15,8.0,7,7,0
6040,114,6,71.0,2,2,3
6039,114,3,50.0,3,3,1
6038,114,1,73.0,1,1,2
6052,115,15,8.0,7,7,0
6050,115,6,85.0,1,1,4
6049,115,3,64.0,3,3,1
6048,115,1,76.0,2,2,2
6062,116,15,9.0,7,7,0
6060,116,6,95.0,1,1,4
6059,116,3,82.0,2,2,2
6058,116,1,76.0,3,3,2
6072,117,15,9.0,8,8,0
6070,117,6,103.0,1,1,4
6069,117,3,100.0,2,2,3
6068,117,1,85.0,3,3,2
6082,118,15,9.0,8,8,0
6080,118,6,118.0,1,1,5
6079,118,3,108.0,2,2,3
6078,118,1,95.0,3,3,2
6092,119,15,9.0,9,9,0
6090,119,6,120.0,1,1,5
6089,119,3,118.0,2,2,4
6088,119,1,103.0,3,3,2
6102,120,15,9.0,9,9,0
6100,120,6,121.0,2,2,5
6099,120,3,129.0,1,1,4
6098,120,1,115.0,3,3,2
6112,121,15,9.0,9,9,0
6110,121,6,137.0,2,2,6
6109,121,3,141.0,1,1,4
6108,121,1,120.0,3,3,2
6122,122,15,19.0,5,5,0
6120,122,6,147.0,1,1,7
6119,122,3,144.0,2,2,4
6118,122,1,128.0,3,3,2
6132,123,15,19.0,6,6,0
6130,123,6,158.0,1,1,8
6129,123,3,144.0,2,2,4
6128,123,1,142.0,3,3,2
5802,124,1,4.0,3,3,0
5801,124,3,6.0,2,2,0
5800,124,6,10.0,1,1,1
5813,125,15,3.0,6,6,0
5808,125,1,4.0,3,3,0
5807,125,3,22.0,1,1,1
5806,125,6,14.0,2,2,1
5824,126,15,3.0,6,6,0
5819,126,1,8.0,3,3,0
5818,126,3,30.0,1,1,1
5817,126,6,24.0,2,2,2
5835,127,15,3.0,6,6,0
5830,127,1,9.0,3,3,0
5829,127,3,37.0,2,2,1
5828,127,6,40.0,1,1,3
5846,128,15,8.0,5,5,0
5841,128,1,13.0,3,3,0
5840,128,3,43.0,2,2,1
5839,128,6,50.0,1,1,4
5857,129,15,8.0,5,5,0
5852,129,1,14.0,3,3,0
5851,129,3,50.0,2,2,1
5850,129,6,66.0,1,1,5
5868,130,15,8.0,5,5,0
5863,130,1,24.0,3,3,1
5862,130,3,54.0,2,2,1
5861,130,6,72.0,1,1,5
5879,131,15,8.0,5,5,0
5874,131,1,33.0,3,3,1
5873,131,3,54.0,2,2,1
5872,131,6,86.0,1,1,6
5890,132,15,9.0,5,5,0
5885,132,1,37.0,3,3,1
5884,132,3,57.0,2,2,1
5883,132,6,102.0,1,1,7
5901,133,15,10.0,5,5,0
5896,133,1,37.0,3,3,1
5895,133,3,61.0,2,2,1
5894,133,6,118.0,1,1,8
5912,134,15,10.0,5,5,0
5907,134,1,47.0,3,3,1
5906,134,3,66.0,2,2,1
5905,134,6,128.0,1,1,9
5923,135,15,11.0,5,5,0
5918,135,1,49.0,3,3,1
5917,135,3,76.0,2,2,1
5916,135,6,141.0,1,1,10
5934,136,15,11.0,5,5,0
5929,136,1,54.0,3,3,1
5928,136,3,80.0,2,2,1
5927,136,6,157.0,1,1,11
5945,137,15,11.0,5,5,0
5940,137,1,57.0,3,3,1
5939,137,3,86.0,2,2,1
5938,137,6,173.0,1,1,12
5956,138,15,11.0,5,5,0
5951,138,1,57.0,3,3,1
5950,138,3,86.0,2,2,1
5949,138,6,189.0,1,1,13
5967,139,15,11.0,5,5,0
5962,139,1,61.0,3,3,1
5961,139,3,89.0,2,2,1
5960,139,6,205.0,1,1,14
5978,140,15,11.0,5,5,0
5973,140,1,65.0,3,3,1
